entity;pathway
ALYREF;Transport of Mature mRNA Derived from an Intronless Transcript
EIF4E;Transport of Mature mRNA Derived from an Intronless Transcript
PAPOLA;Processing of Intronless Pre-mRNAs
PABPN1;Processing of Intronless Pre-mRNAs
EIF1AX;Translation initiation complex formation
EIF1AX;Ribosomal scanning and start codon recognition
EIF5;Ribosomal scanning and start codon recognition
EIF4G1;Translation initiation complex formation
PABPC1;Translation initiation complex formation
EIF4H;GTP hydrolysis and joining of the 60S ribosomal subunit
EIF4B;GTP hydrolysis and joining of the 60S ribosomal subunit
EIF1AX;GTP hydrolysis and joining of the 60S ribosomal subunit
EIF4G1;GTP hydrolysis and joining of the 60S ribosomal subunit
EIF5;GTP hydrolysis and joining of the 60S ribosomal subunit
EIF4E;GTP hydrolysis and joining of the 60S ribosomal subunit
EIF1AX;Formation of a pool of free 40S subunits
EIF1AX;Formation of the ternary complex, and subsequently, the 43S complex
RPL13A;L13a-mediated translational silencing of Ceruloplasmin expression
NFKBIA;SUMOylation of immune response proteins
NFKB2;SUMOylation of immune response proteins
IKBKE;SUMOylation of immune response proteins
SUMO3;SUMO is conjugated to E1 (UBA2:SAE1)
SUMO3;SUMO is proteolytically processed
IKBKG;SUMOylation of immune response proteins
USP18;Regulation of IFNA/IFNB signaling
ABCE1;Interferon alpha/beta signaling
MAP2K4;Oxidative Stress Induced Senescence
CXCL8;Senescence-Associated Secretory Phenotype (SASP)
IL1A;Senescence-Associated Secretory Phenotype (SASP)
IL6;Transcriptional Regulation by VENTX
IL6;Senescence-Associated Secretory Phenotype (SASP)
IGFBP7;Senescence-Associated Secretory Phenotype (SASP)
TP53;Transcriptional Regulation by VENTX
CSF1R;Transcriptional Regulation by VENTX
CASP1;TP53 Regulates Transcription of Caspase Activators and Caspases
CASP6;TP53 Regulates Transcription of Caspase Activators and Caspases
PIDD1;TP53 Regulates Transcription of Caspase Activators and Caspases
CASP2;TP53 Regulates Transcription of Caspase Activators and Caspases
CRADD;TP53 Regulates Transcription of Caspase Activators and Caspases
IGFBP3;TP53 Regulates Transcription of Death Receptors and Ligands
TMEM219;TP53 Regulates Transcription of Death Receptors and Ligands
FAS;TP53 Regulates Transcription of Death Receptors and Ligands
IGFBP2;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Regulation of IGF Activity by IGFBP
IGFBP4;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Regulation of IGF Activity by IGFBP
IGFBP3;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Regulation of IGF Activity by IGFBP
IGFALS;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Regulation of IGF Activity by IGFBP
IGFBP5;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Regulation of IGF Activity by IGFBP
IGFBP1;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Regulation of IGF Activity by IGFBP
IGFBP6;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Regulation of IGF Activity by IGFBP
PIN1;RHO GTPases Activate NADPH Oxidases
SEC13;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
SEC31A;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
SEC23A;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
TAPBP;ER-Phagosome pathway
CALR;ER-Phagosome pathway
SEC22B;ER-Phagosome pathway
STX4;ER-Phagosome pathway
SNAP23;ER-Phagosome pathway
L3MBTL1;Regulation of TP53 Activity through Methylation
JMY;Regulation of TP53 Activity through Methylation
EP300;Regulation of TP53 Activity through Methylation
TTC5;Regulation of TP53 Activity through Methylation
PRMT5;Regulation of TP53 Activity through Methylation
REG3A;Antimicrobial peptides
LYZ;Antimicrobial peptides
LTF;Metal sequestration by antimicrobial proteins
ATOX1;Ion influx/efflux at host-pathogen interface
DCD;Antimicrobial peptides
DEFA5;Alpha-defensins
CD4;Alpha-defensins
DEFA1;Alpha-defensins
DEFB103A;Beta defensins
CCR6;Beta defensins
CCR2;Beta defensins
BPI;Antimicrobial peptides
CAMP;Antimicrobial peptides
LEAP2;Antimicrobial peptides
GNLY;Antimicrobial peptides
TLR9;Toll Like Receptor 9 (TLR9) Cascade
TRAF3;TICAM1-dependent activation of IRF3/IRF7,TLR3-mediated TICAM1-dependent activation of IRF3/IRF7,TLR3-mediated TRIF-dependent activation of IRF3/IRF7,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
TANK;TICAM1-dependent activation of IRF3/IRF7,TLR3-mediated TICAM1-dependent activation of IRF3/IRF7,TLR3-mediated TRIF-dependent activation of IRF3/IRF7,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
RIPK3;TLR3-mediated TICAM1-dependent programmed cell death
KIR2DS5;DAP12 interactions
TICAM2;Toll Like Receptor 4 (TLR4) Cascade
AGER;Advanced glycosylation endproduct receptor signaling
PKN1;Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
KDM4C;Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
NCOA2;Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
KDM1A;Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
PPP1R14A;RHO GTPases activate PKNs
CDKN1B;RHO GTPases activate CIT
PRC1;RHO GTPases activate CIT
KIF14;RHO GTPases activate CIT
DLG4;RHO GTPases activate CIT
CLIP1;RHO GTPases activate IQGAPs
MEN1;RHO GTPases activate IQGAPs
APP;Amyloid fiber formation
SORL1;Amyloid fiber formation
SIAH1;Amyloid fiber formation
SNCA;Amyloid fiber formation
UBE2L6;Amyloid fiber formation
BACE1;Amyloid fiber formation
USP9X;Amyloid fiber formation
APCS;Amyloid fiber formation
HSPG2;Amyloid fiber formation
APOE;Amyloid fiber formation
SNCAIP;Amyloid fiber formation
PRKN;Amyloid fiber formation
CALB1;Amyloid fiber formation
HNRNPK;HCMV Late Events
CEBPD;HCMV Late Events
VPS4A;HCMV Late Events
CHMP1A;HCMV Late Events
XPO1;NEP/NS2 Interacts with the Cellular Export Machinery
KPNB1;Transport of Ribonucleoproteins into the Host Nucleus
KPNA1;Transport of Ribonucleoproteins into the Host Nucleus
PABPN1;Inhibition of Host mRNA Processing and RNA Silencing
CPSF4;Inhibition of Host mRNA Processing and RNA Silencing
SLC25A6;Influenza Virus Induced Apoptosis
CCNT1;Interactions of Tat with host cellular proteins
CDK9;Interactions of Tat with host cellular proteins
KPNA1;Vpr-mediated nuclear import of PICs
SKP1;Vpu mediated degradation of CD4
BTRC;Vpu mediated degradation of CD4
CD4;Vpu mediated degradation of CD4
NPM1;Nuclear import of Rev protein
KPNB1;Nuclear import of Rev protein
RANBP1;Rev-mediated nuclear export of HIV RNA
XPO1;Rev-mediated nuclear export of HIV RNA
TCEA1;Formation of HIV elongation complex in the absence of HIV Tat
ELL;Formation of HIV elongation complex in the absence of HIV Tat
ELOC;RNA Polymerase II Pre-transcription Events
ELOB;RNA Polymerase II Pre-transcription Events
SUPT16H;RNA Polymerase II Pre-transcription Events
SSRP1;RNA Polymerase II Pre-transcription Events
NELFCD;RNA Polymerase II Pre-transcription Events
NELFE;RNA Polymerase II Pre-transcription Events
NELFA;RNA Polymerase II Pre-transcription Events
NELFB;RNA Polymerase II Pre-transcription Events
CTDP1;Formation of the HIV-1 Early Elongation Complex
CTDP1;Formation of the Early Elongation Complex
SUPT4H1;RNA Polymerase II Pre-transcription Events
SUPT5H;RNA Polymerase II Pre-transcription Events
CDK9;RNA Polymerase II Pre-transcription Events
MLLT1;Formation of RNA Pol II elongation complex 
EAF2;Formation of RNA Pol II elongation complex 
MLLT3;Formation of RNA Pol II elongation complex 
AFF4;Formation of RNA Pol II elongation complex 
EAF1;Formation of RNA Pol II elongation complex 
ELL;Formation of RNA Pol II elongation complex 
IWS1;Formation of RNA Pol II elongation complex 
TCEA1;Formation of RNA Pol II elongation complex 
SUPT6H;Formation of RNA Pol II elongation complex 
TCEA1;Formation of HIV-1 elongation complex containing HIV-1 Tat
ELL;Formation of HIV-1 elongation complex containing HIV-1 Tat
GTF2B;RNA Polymerase II HIV Promoter Escape
GTF2B;RNA Polymerase II Pre-transcription Events
GTF2B;HIV Transcription Initiation
RNMT;RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
SUPT5H;RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
RNGTT;RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
RPRD2;RNA polymerase II transcribes snRNA genes
RPAP2;RNA polymerase II transcribes snRNA genes
TBP;RNA polymerase II transcribes snRNA genes
CDK7;RNA polymerase II transcribes snRNA genes
GTF2B;RNA polymerase II transcribes snRNA genes
ZNF143;RNA polymerase II transcribes snRNA genes
SP1;RNA polymerase II transcribes snRNA genes
SRRT;RNA polymerase II transcribes snRNA genes
PHAX;RNA polymerase II transcribes snRNA genes
MED23;Generic Transcription Pathway
MED1;Generic Transcription Pathway
MED25;Generic Transcription Pathway
CDK8;Generic Transcription Pathway
MED14;Generic Transcription Pathway
MED10;Generic Transcription Pathway
MED8;Generic Transcription Pathway
MED12;Generic Transcription Pathway
MED15;Generic Transcription Pathway
MED4;Generic Transcription Pathway
MED17;Generic Transcription Pathway
MED7;Generic Transcription Pathway
MED16;Generic Transcription Pathway
MED24;Generic Transcription Pathway
MED26;Generic Transcription Pathway
MED6;Generic Transcription Pathway
MED13;Generic Transcription Pathway
CCNC;Generic Transcription Pathway
CREBBP;Notch-HLH transcription pathway
SNW1;Notch-HLH transcription pathway
RBPJ;Notch-HLH transcription pathway
DEK;Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors
TFAP2C;Activation of the TFAP2 (AP-2) family of transcription factors
APOE;Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors
MYC;TFAP2 (AP-2) family regulates transcription of cell cycle factors
KDM5B;TFAP2 (AP-2) family regulates transcription of cell cycle factors
CDKN1A;TFAP2 (AP-2) family regulates transcription of cell cycle factors
TGFA;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
YY1;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
CGB3;Glycoprotein hormones
CGB3;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
CGA;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
EGFR;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
ESR1;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
VEGFA;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
ATAD2;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
ERBB2;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
KIT;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
CREBBP;Activation of the TFAP2 (AP-2) family of transcription factors
EP300;Activation of the TFAP2 (AP-2) family of transcription factors
YEATS4;Activation of the TFAP2 (AP-2) family of transcription factors
PITX2;TFAP2 (AP-2) family regulates transcription of other transcription factors
NPM1;TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation
HSPD1;TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation
MYBL2;TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation
NOP2;TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation
KCTD1;Negative regulation of activity of TFAP2 (AP-2) family transcription factors
UBE2I;SUMOylation of transcription factors
UBE2I;Negative regulation of activity of TFAP2 (AP-2) family transcription factors
WWOX;Negative regulation of activity of TFAP2 (AP-2) family transcription factors
TFAP2C;Negative regulation of activity of TFAP2 (AP-2) family transcription factors
KCTD15;Negative regulation of activity of TFAP2 (AP-2) family transcription factors
SPP1;RUNX3 Regulates Immune Response and Cell Migration
CBFB;Regulation of RUNX3 expression and activity
BCL2L11;RUNX3 regulates BCL2L11 (BIM) transcription
FOXO3;RUNX3 regulates BCL2L11 (BIM) transcription
RUNX3;RUNX3 regulates CDKN1A transcription
ZFHX3;RUNX3 regulates CDKN1A transcription
CDKN1A;RUNX3 regulates CDKN1A transcription
JAG1;RUNX3 regulates NOTCH signaling
RUNX3;RUNX3 regulates NOTCH signaling
EP300;RUNX3 regulates p14-ARF
CCND1;RUNX3 regulates p14-ARF
HDAC4;RUNX3 regulates p14-ARF
SRC;Regulation of RUNX3 expression and activity
CCND1;RUNX3 regulates WNT signaling
RUNX3;RUNX3 regulates YAP1-mediated transcription
CCN2;YAP1- and WWTR1 (TAZ)-stimulated gene expression
CCN2;RUNX3 regulates YAP1-mediated transcription
DLL4;NOTCH2 Activation and Transmission of Signal to the Nucleus
CNTN1;NOTCH2 Activation and Transmission of Signal to the Nucleus
JAG2;NOTCH2 Activation and Transmission of Signal to the Nucleus
JAG1;NOTCH2 Activation and Transmission of Signal to the Nucleus
NOTCH2;NOTCH2 Activation and Transmission of Signal to the Nucleus
DLL1;NOTCH2 Activation and Transmission of Signal to the Nucleus
NOTCH2;NOTCH2 intracellular domain regulates transcription
RBPJ;NOTCH2 intracellular domain regulates transcription
FCER2;NOTCH2 intracellular domain regulates transcription
GZMB;NOTCH2 intracellular domain regulates transcription
EP300;NOTCH2 intracellular domain regulates transcription
HES1;NOTCH2 intracellular domain regulates transcription
HES5;NOTCH2 intracellular domain regulates transcription
SOX2;Transcriptional Regulation by MECP2
PTEN;Transcriptional Regulation by MECP2
DGCR8;Transcriptional Regulation by MECP2
FKBP5;MECP2 regulates neuronal receptors and channels
OPRM1;MECP2 regulates neuronal receptors and channels
GRIA2;MECP2 regulates neuronal receptors and channels
CREB1;MECP2 regulates transcription factors
GRIN2A;MECP2 regulates neuronal receptors and channels
TRPC3;MECP2 regulates neuronal receptors and channels
SLC2A3;MECP2 regulates neuronal receptors and channels
GRIN2B;MECP2 regulates neuronal receptors and channels
PTPN4;MECP2 regulates neuronal receptors and channels
PTPN1;MECP2 regulates neuronal receptors and channels
GPRIN1;MECP2 regulates neuronal receptors and channels
MET;MECP2 regulates neuronal receptors and channels
OPRK1;MECP2 regulates neuronal receptors and channels
PVALB;Transcriptional Regulation by MECP2
SGK1;Transcriptional Regulation by MECP2
GAD2;MECP2 regulates transcription of genes involved in GABA signaling
GAD1;MECP2 regulates transcription of genes involved in GABA signaling
BDNF;MECP2 regulates transcription of neuronal ligands
CRH;MECP2 regulates transcription of neuronal ligands
DLL1;MECP2 regulates transcription of neuronal ligands
IRAK1;Transcriptional Regulation by MECP2
GAMT;Transcriptional Regulation by MECP2
HTT;Regulation of MECP2 expression and activity
FOXG1;Regulation of MECP2 expression and activity
LBR;Regulation of MECP2 expression and activity
MEF2C;MECP2 regulates transcription factors
PPARG;MECP2 regulates transcription factors
RBFOX1;MECP2 regulates transcription factors
MOBP;Transcriptional Regulation by MECP2
SRF;Regulation of NPAS4 gene transcription
REST;Regulation of NPAS4 gene transcription
NPAS4;Regulation of NPAS4 mRNA translation
NPAS4;NPAS4 regulates expression of target genes
IQSEC3;NPAS4 regulates expression of target genes
MDM2;NPAS4 regulates expression of target genes
PLK2;NPAS4 regulates expression of target genes
BMAL1;NPAS4 regulates expression of target genes
INS;NPAS4 regulates expression of target genes
RBFOX3;NPAS4 regulates expression of target genes
RET;NPAS4 regulates expression of target genes
GEM;NPAS4 regulates expression of target genes
FOS;NPAS4 regulates expression of target genes
CDK5R1;NPAS4 regulates expression of target genes
CDK5;NPAS4 regulates expression of target genes
ARNT;NPAS4 regulates expression of target genes
SYT10;NPAS4 regulates expression of target genes
BDNF;NPAS4 regulates expression of target genes
ARNT2;NPAS4 regulates expression of target genes
NAMPT;NPAS4 regulates expression of target genes
NPPA;Physiological factors
NPPA;YAP1- and WWTR1 (TAZ)-stimulated gene expression
HAND2;Transcriptional regulation by RUNX2
CDKN1A;Transcriptional regulation by RUNX2
BAX;Transcriptional regulation by RUNX2
ITGA5;RUNX2 regulates genes involved in cell migration
ITGBL1;RUNX2 regulates genes involved in cell migration
MMP13;RUNX2 regulates genes involved in cell migration
SUFU;Degradation of GLI1 by the proteasome
NUMB;Hedgehog 'on' state
NUMB;Degradation of GLI1 by the proteasome
ITCH;Hedgehog 'on' state
ITCH;Degradation of GLI1 by the proteasome
SUFU;Degradation of GLI2 by the proteasome
PTCH1;Hedgehog 'off' state
KIF7;Hedgehog 'off' state
ACVRL1;Signaling by BMP
SKI;Signaling by BMP
GLI1;Hedgehog 'on' state
GLI1;GLI proteins bind promoters of Hh responsive genes to promote transcription
GPR161;Hedgehog 'on' state
CSNK1A1;Activation of SMO
GRK2;Activation of SMO
KIF3A;Activation of SMO
PTCH1;Hedgehog 'on' state
CDC73;Hedgehog 'on' state
PTCH1;Ligand-receptor interactions
CDON;Ligand-receptor interactions
GAS1;Ligand-receptor interactions
HHIP;Ligand-receptor interactions
STK3;Signaling by Hippo,Hippo signaling cascade
NPHP4;Signaling by Hippo,Hippo signaling cascade
TJP2;Signaling by Hippo,Hippo signaling cascade
STK4;Signaling by Hippo,Hippo signaling cascade
WWC1;Signaling by Hippo,Hippo signaling cascade
DVL2;Signaling by Hippo,Hippo signaling cascade
TJP1;Signaling by Hippo,Hippo signaling cascade
MED1;Nuclear Receptor transcription pathway
CITED2;FOXO-mediated transcription of cell death genes
STK11;FOXO-mediated transcription of cell death genes
BCL6;FOXO-mediated transcription of cell death genes
BBC3;FOXO-mediated transcription of cell death genes
PINK1;FOXO-mediated transcription of cell death genes
BCL2L11;FOXO-mediated transcription of cell death genes
FASLG;FOXO-mediated transcription of cell death genes
BTG1;FOXO-mediated transcription of cell cycle genes
FOXO3;FOXO-mediated transcription of cell cycle genes
CDKN1B;FOXO-mediated transcription of cell cycle genes
CAV1;FOXO-mediated transcription of cell cycle genes
GADD45A;FOXO-mediated transcription of cell cycle genes
KLF4;FOXO-mediated transcription of cell cycle genes
FOXO1;FOXO-mediated transcription of cell cycle genes
FOXG1;FOXO-mediated transcription of cell cycle genes
CCNG2;FOXO-mediated transcription of cell cycle genes
RBL2;FOXO-mediated transcription of cell cycle genes
CAT;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
FOXO1;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
G6PC1;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
PPARGC1A;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
TRIM63;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
SREBF1;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
IGFBP1;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
ATXN3;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
FOXO4;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
RETN;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
ABCA6;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
NPY;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
PCK1;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
FBXO32;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
FOXO3;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
POMC;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
FOXO6;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
GCK;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
SOD2;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
PLXNA4;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
AGRP;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
FOXO3;Regulation of localization of FOXO transcription factors
FOXO1;Regulation of localization of FOXO transcription factors
FOXO4;Regulation of localization of FOXO transcription factors
FOXO1;Regulation of FOXO transcriptional activity by acetylation
FOXO4;Regulation of FOXO transcriptional activity by acetylation
FOXO3;Regulation of FOXO transcriptional activity by acetylation
CREBBP;Regulation of FOXO transcriptional activity by acetylation
EP300;Regulation of FOXO transcriptional activity by acetylation
TXN;Regulation of FOXO transcriptional activity by acetylation
E2F6;Transcriptional Regulation by E2F6
TFDP2;Transcriptional Regulation by E2F6
RBBP8;Transcriptional Regulation by E2F6
TFDP1;Transcriptional Regulation by E2F6
APAF1;Transcriptional Regulation by E2F6
EPC1;Transcriptional Regulation by E2F6
RBBP4;Transcriptional Regulation by E2F6
RAD51;Transcriptional Regulation by E2F6
CBX5;Transcriptional Regulation by E2F6
E2F1;Transcriptional Regulation by E2F6
CBX3;Transcriptional Regulation by E2F6
PCGF6;Transcriptional Regulation by E2F6
L3MBTL2;Transcriptional Regulation by E2F6
UXT;Transcriptional Regulation by E2F6
CDC7;Transcriptional Regulation by E2F6
RRM2;G1/S-Specific Transcription
RRM2;Transcriptional Regulation by E2F6
BRCA1;Transcriptional Regulation by E2F6
MED27;Generic Transcription Pathway
MED20;Generic Transcription Pathway
MED31;Generic Transcription Pathway
MED30;Generic Transcription Pathway
MLLT1;RNA Polymerase II Pre-transcription Events
EAF2;RNA Polymerase II Pre-transcription Events
MLLT3;RNA Polymerase II Pre-transcription Events
AFF4;RNA Polymerase II Pre-transcription Events
EAF1;RNA Polymerase II Pre-transcription Events
TCEA1;RNA Polymerase II Pre-transcription Events
ELL;RNA Polymerase II Pre-transcription Events
CTDP1;RNA Polymerase II Pre-transcription Events
IWS1;RNA Polymerase II Pre-transcription Events
SUPT6H;RNA Polymerase II Pre-transcription Events
HCK;Nef and signal transduction
LCK;Nef and signal transduction
DOCK2;Nef and signal transduction
ELMO1;Nef and signal transduction
RAC1;Nef and signal transduction
PAK2;Nef and signal transduction
FYN;Nef and signal transduction
ATP6V1H;Nef Mediated CD4 Down-regulation
LCK;Nef Mediated CD4 Down-regulation
ARF1;Nef Mediated CD4 Down-regulation
CD4;Nef Mediated CD4 Down-regulation
ATP6V1H;Nef Mediated CD8 Down-regulation
AP2M1;Nef mediated downregulation of CD28 cell surface expression
CD28;Nef mediated downregulation of CD28 cell surface expression
PACS1;Nef mediated downregulation of MHC class I complex cell surface expression
HBEGF;Extra-nuclear estrogen signaling
S1PR3;Extra-nuclear estrogen signaling
PLCG1;Activated NTRK3 signals through PLCG1
NELFB;NTRK3 as a dependence receptor
NTRK3;NTRK3 as a dependence receptor
BAX;NTRK3 as a dependence receptor
NTRK3;NTF3 activates NTRK3 signaling
SRC;Activated NTRK3 signals through PI3K
IRS1;Activated NTRK3 signals through PI3K
PTPRD;Receptor-type tyrosine-protein phosphatases
LRRC4B;Receptor-type tyrosine-protein phosphatases
NTRK3;Receptor-type tyrosine-protein phosphatases
PTPRS;Receptor-type tyrosine-protein phosphatases
DLG4;Synaptic adhesion-like molecules
LRFN3;Synaptic adhesion-like molecules
LRFN2;Synaptic adhesion-like molecules
LRFN4;Synaptic adhesion-like molecules
RTN3;Synaptic adhesion-like molecules
LRFN1;Synaptic adhesion-like molecules
CASK;Neurexins and neuroligins
SHARPIN;Neurexins and neuroligins
SIPA1L1;Neurexins and neuroligins
BEGAIN;Neurexins and neuroligins
DBNL;Neurexins and neuroligins
PDLIM5;Neurexins and neuroligins
FRS2;Activated NTRK2 signals through FRS2 and FRS3
FRS3;Activated NTRK2 signals through FRS2 and FRS3
NTRK2;NTF4 activates NTRK2 (TRKB) signaling
NTRK2;BDNF activates NTRK2 (TRKB) signaling
PTPN11;Activated NTRK2 signals through FRS2 and FRS3
TIAM1;Activated NTRK2 signals through CDK5
PLCG1;Activated NTRK2 signals through PLCG1
NTRK2;NTF3 activates NTRK2 (TRKB) signaling
GRIN2B;Activated NTRK2 signals through FYN
NTRK2;Activated NTRK2 signals through FYN
DOCK3;NTRK2 activates RAC1
PTPN11;FRS-mediated FGFR2 signaling
HNRNPM;FGFR2 alternative splicing
ESRP1;FGFR2 alternative splicing
ESRP2;FGFR2 alternative splicing
HNRNPA1;FGFR2 alternative splicing
PTBP1;FGFR2 alternative splicing
PLCG1;Downstream signal transduction
SRC;Downstream signal transduction
RASA1;Downstream signal transduction
RAPGEF1;Downstream signal transduction
BCAR1;Downstream signal transduction
GRB7;Downstream signal transduction
PTPN11;Downstream signal transduction
PDGFRA;Signaling by PDGF
DLG4;Signaling by ERBB4
PTPN11;Prolactin receptor signaling
CBL;Regulation of signaling by CBL
RAPGEF1;Regulation of signaling by CBL
VAV1;Regulation of signaling by CBL
BLNK;Regulation of signaling by CBL
YWHAZ;Interleukin-3, Interleukin-5 and GM-CSF signaling
VAV1;Interleukin-3, Interleukin-5 and GM-CSF signaling
TEC;Interleukin-3, Interleukin-5 and GM-CSF signaling
PTPN11;Interleukin-3, Interleukin-5 and GM-CSF signaling
TJP1;RUNX1 regulates expression of components of tight junctions
OCLN;RUNX1 regulates expression of components of tight junctions
CLDN5;RUNX1 regulates expression of components of tight junctions
PTPN11;STAT5 Activation
PTPN11;FLT3 Signaling
PTPN11;RAF/MAP kinase cascade
OAS1;OAS antiviral response
RIGI;OAS antiviral response
OASL;OAS antiviral response
OAS3;OAS antiviral response
FLNA;OAS antiviral response
RNASEL;OAS antiviral response
ABCE1;OAS antiviral response
SNUPN;snRNP Assembly
IL17RB;Interleukin-17 signaling
IL17RE;Interleukin-17 signaling
IL19;Interleukin-20 family signaling
IL19;MAPK1/MAPK3 signaling,ERK1/ERK2 pathway
IL20RB;Interleukin-20 family signaling
IL20RA;Interleukin-20 family signaling
GSK3B;Maturation of nucleoprotein
ZCRB1;Replication of the SARS-CoV-1 genome
RB1;Replication of the SARS-CoV-1 genome
VHL;Replication of the SARS-CoV-1 genome
DDX5;Replication of the SARS-CoV-1 genome
MAP1LC3B;Translation of Replicase and Assembly of the Replication Transcription Complex
TMPRSS2;Attachment and Entry
ACE2;Induction of Cell-Cell Fusion
PRMT1;Maturation of nucleoprotein
RB1;Replication of the SARS-CoV-2 genome
ZCRB1;Replication of the SARS-CoV-2 genome
VHL;Replication of the SARS-CoV-2 genome
DDX5;Replication of the SARS-CoV-2 genome
BCL2L1;SARS-CoV-1-mediated effects on programmed cell death
NPIPB3;SARS-CoV-1 activates/modulates innate immune responses
TKFC;SARS-CoV-1 activates/modulates innate immune responses
RIGI;SARS-CoV-1 activates/modulates innate immune responses
NLRP3;SARS-CoV-1 activates/modulates innate immune responses
TOMM70;SARS-CoV-1 activates/modulates innate immune responses
IRF3;SARS-CoV-1 activates/modulates innate immune responses
MAVS;SARS-CoV-1 activates/modulates innate immune responses
PCBP2;SARS-CoV-1 activates/modulates innate immune responses
ITCH;SARS-CoV-1 activates/modulates innate immune responses
RCAN3;SARS-CoV-1 activates/modulates innate immune responses
TRIM25;SARS-CoV-1 activates/modulates innate immune responses
KPNA2;SARS-CoV-1 activates/modulates innate immune responses
NMI;SARS-CoV-1 activates/modulates innate immune responses
KPNB1;SARS-CoV-1 activates/modulates innate immune responses
TRAF3;SARS-CoV-1 activates/modulates innate immune responses
RUNX1;SARS-CoV-1 activates/modulates innate immune responses
HNRNPA1;SARS-CoV-1-host interactions
HNRNPA1;SARS-CoV-1 modulates host translation machinery
EEF1A1;SARS-CoV-1 modulates host translation machinery
NPM1;SARS-CoV-1-host interactions
PSMC6;SARS-CoV-1 targets host intracellular signalling and regulatory pathways
UBE2I;SARS-CoV-1 targets host intracellular signalling and regulatory pathways
SMAD3;SARS-CoV-1 targets host intracellular signalling and regulatory pathways
SMAD4;SARS-CoV-1 targets host intracellular signalling and regulatory pathways
EP300;SARS-CoV-1 targets host intracellular signalling and regulatory pathways
SP1;SARS-CoV-1 targets host intracellular signalling and regulatory pathways
